Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
créer son cadre personnalisé,EUR,50,?,0%,High,100,0,0
créer son cadre photo personnalisé,EUR,50,?,?,High,100,0,0
cube cadeau photo,EUR,50,0%,0%,High,100,0.002539866,0.013792406
deco boite anniversaire,EUR,500,-90%,0%,High,93,0,0
deco noel famille personnalisée,EUR,50,-90%,-90%,High,100,0.002707756,0.008615201
deco noel personnalisée famille,EUR,50,0%,0%,High,100,0.00245804,0.008383741
des idées de cadeaux pour la fête des mères,EUR,50,0%,-100%,Unknown,,0,0
faire un cadeau avec des photos,EUR,50,0%,0%,High,100,0.003221532,0.010822547
faire un cadeau photo,EUR,50,0%,0%,High,100,0.005400841,0.014692818
faire un cadeau pour la fete des meres,EUR,50,0%,0%,High,100,0,0
faire un cadeau pour la fête des mères,EUR,50,0%,0%,High,100,0,0
faire un porte clé photo,EUR,50,0%,0%,High,95,0,0
faire un tee shirt avec photo,EUR,50,0%,0%,High,86,0.004971173,0.009143647
fete des grand mere cadeau original,EUR,50,0%,-100%,Unknown,,0,0
fete des grand mere cadeau photo,EUR,50,-100%,-100%,Unknown,,0,0
fete des grand mere idee originale,EUR,50,0%,0%,Unknown,,0,0
fete des grand mere original,EUR,50,0%,0%,Unknown,,0,0
fete des mere original,EUR,50,0%,0%,Unknown,,0,0
fete des meres cadeau photo,EUR,50,0%,0%,Unknown,,0,0
fete des meres idee originale,EUR,50,0%,0%,Unknown,,0,0
fete des meres original,EUR,50,0%,-100%,Unknown,,0,0
fete des peres cadeau photo,EUR,50,0%,0%,Unknown,,0,0
fete des peres photo cadeau,EUR,50,0%,0%,Unknown,,0,0
fête des mères cadeau original,EUR,5000,0%,-90%,High,78,0.001648908,0.005991879
fête des mères idée originale,EUR,50,0%,0%,Unknown,,0,0
fête des mères original,EUR,50,0%,0%,Unknown,,0,0
grand parent cadeau,EUR,50,0%,-90%,High,100,0.001745078,0.004667341
grand parents cadeau,EUR,50,0%,-90%,High,100,0.001745078,0.004667341
gravure cadre photo,EUR,50,900%,0%,High,100,0.005913965,0.0151678
gravure photo personnalisé,EUR,50,0%,0%,High,100,0.005312821,0.011885633
gravure photo sur objet,EUR,50,0%,0%,High,100,0.00278404,0.011463463
idee activité anniversaire homme,EUR,50,-100%,-100%,Unknown,,0,0
idee anniversaire de mariage,EUR,500,-90%,-90%,High,100,0.001764638,0.003945578
idee anniversaire mariage,EUR,500,0%,0%,High,100,0.002746224,0.006750807
idee cadeau 1 an mariage homme,EUR,50,0%,0%,High,100,0,0
idee cadeau 1er anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
idee cadeau 25e anniversaire de mariage,EUR,50,0%,0%,Unknown,,0,0
idee cadeau 50ème anniversaire de mariage,EUR,50,0%,0%,Unknown,,0,0
idee cadeau anniv mariage,EUR,500,0%,0%,High,100,0.001777678,0.007138747
idee cadeau anniversaire mariage 1 an,EUR,50,0%,0%,High,100,0,0
idee cadeau avec une photo,EUR,500,900%,0%,High,100,0.004099124,0.012562083
idee cadeau cadre photo,EUR,50,0%,0%,High,100,0.009124413,0.031785649
idee cadeau couple grand parents,EUR,50,0%,-90%,High,100,0.001347358,0.005870933
idee cadeau d anniversaire de mariage,EUR,50,0%,0%,High,79,0,0
idee cadeau de mariage 1 an,EUR,500,-90%,0%,High,100,0.001692592,0.004331236
idee cadeau de mariage parents,EUR,50,0%,0%,High,100,0.001107748,0.006331571
idee cadeau fete des mere original,EUR,5000,0%,0%,High,100,0.0008965,0.009054323
idee cadeau fete des meres original,EUR,50,0%,0%,Unknown,,0,0
idee cadeau fete des meres originale,EUR,5000,0%,0%,High,100,0.0008965,0.009054323
idee cadeau fete des meres photo,EUR,50,0%,-100%,Unknown,,0,0
idee cadeau fete des peres photo,EUR,50,-100%,-100%,Unknown,,0,0
idee cadeau futur grand parent,EUR,50,0%,-90%,High,100,0.001446136,0.005414207
idee cadeau grand parent personnalisé,EUR,50,0%,?,High,100,0,0
idee cadeau homme noce de bois,EUR,50,0%,0%,High,100,0,0
idee cadeau homme noce de coquelicot,EUR,50,0%,0%,Unknown,,0,0
idee cadeau homme noce de froment,EUR,50,?,0%,High,100,0,0
idee cadeau jeune grand parent,EUR,50,0%,0%,High,100,0.001393976,0.005131565
idee cadeau naissance pour grand parents,EUR,50,0%,0%,High,100,0,0
idee cadeau noce acajou,EUR,50,0%,0%,High,100,0,0
idee cadeau noce bois,EUR,50,0%,?,High,100,0,0
idee cadeau noce cire,EUR,50,0%,0%,High,100,0,0
idee cadeau noce coquelicot,EUR,50,0%,0%,High,100,0,0
idee cadeau noce cristal,EUR,50,0%,0%,High,100,0,0
idee cadeau noce cuir,EUR,50,0%,0%,High,100,0,0
idee cadeau noce d emeraude,EUR,50,0%,0%,High,100,0.001335296,0.003254458
idee cadeau noce de corail,EUR,50,0%,0%,High,100,0,0
idee cadeau noce de coton femme,EUR,50,0%,?,High,100,0,0
idee cadeau noce de cuir homme,EUR,50,0%,0%,High,100,0.00143929,0.006180307
idee cadeau noce de faience,EUR,50,0%,0%,High,100,0.00135453,0.003076788
idee cadeau noce de muguet,EUR,50,0%,0%,High,100,0,0
idee cadeau noce de perle,EUR,50,0%,0%,High,100,0.001353226,0.008625307
idee cadeau noce de plomb,EUR,50,0%,0%,High,100,0,0
idee cadeau noce de porcelaine,EUR,50,0%,0%,High,100,0,0
idee cadeau noce de satin,EUR,50,0%,0%,High,100,0,0
idee cadeau noce de soie,EUR,50,0%,0%,High,100,0,0
idee cadeau noce de turquoise,EUR,50,-100%,0%,Unknown,,0,0
idee cadeau noce emeraude,EUR,50,0%,0%,High,100,0,0
idee cadeau noce etain,EUR,500,0%,0%,High,100,0.001247602,0.003132534
idee cadeau noce faience,EUR,50,0%,0%,High,100,0,0
idee cadeau noce froment,EUR,50,0%,0%,High,100,0.0018093,0.004908255
idee cadeau noce porcelaine,EUR,50,0%,0%,High,100,0,0
idee cadeau noces coton,EUR,50,0%,0%,High,100,0,0
idee cadeau noces de cire,EUR,50,0%,0%,High,100,0.001585012,0.004265058
idee cadeau noces de cristal,EUR,50,0%,0%,High,100,0,0
idee cadeau noces de laine,EUR,50,0%,0%,High,100,0,0
idee cadeau noel papi mamie,EUR,50,0%,0%,High,100,0.00197067,0.007852361
idee cadeau noel papy mamie,EUR,50,900%,0%,High,100,0.00151101,0.005422357
idee cadeau noel personnalisable,EUR,500,0%,0%,High,100,0.002963666,0.009947563
idee cadeau noel pour grand parent,EUR,500,900%,0%,High,100,0.001373112,0.005079731
idee cadeau original fete des grand mere,EUR,50,-100%,-100%,Unknown,,0,0
idee cadeau original fete des mere,EUR,50,0%,0%,Unknown,,0,0
idee cadeau original grand parent,EUR,50,0%,0%,High,100,0.001412232,0.005068321
idee cadeau papi mamie,EUR,500,900%,0%,High,100,0.001426576,0.004921621
idee cadeau papy et mamie,EUR,500,900%,0%,High,100,0.001576536,0.004820235
idee cadeau parents âgées,EUR,50,0%,0%,High,100,0.00059332,0.003834086
idee cadeau personnalisé noel,EUR,50,0%,0%,High,100,0.00341159,0.011082695
idee cadeau photo com,EUR,50,?,0%,High,100,0.007018453,0.023084709
idee cadeau photo fete des peres,EUR,50,-100%,-100%,Unknown,,0,0
idee cadeau photo noel,EUR,50,900%,0%,High,100,0.005132217,0.014332588
idee cadeau photo souvenir,EUR,50,0%,-90%,High,100,0.004647129,0.012722801
idee cadeau pour 1 an de mariage,EUR,500,-90%,0%,High,100,0.001692592,0.004331236
idee cadeau pour anniversaire mariage,EUR,500,0%,0%,High,100,0.001777678,0.007138747
idee cadeau pour fete des mere,EUR,50000,0%,0%,High,99,0.00231623,0.011006737
idee cadeau pour grand parents,EUR,500,900%,0%,High,100,0.001103836,0.00453466
idee cadeau pour la fete des mamie,EUR,50,-100%,0%,Unknown,,0,0
idee cadeau pour la fete des meres,EUR,50,-100%,-100%,Unknown,,0,0
idee cadeau pour noce d etain,EUR,50,0%,0%,Unknown,,0,0
idee cadeau pour noce d or,EUR,50,0%,0%,High,100,0,0
idee cadeau pour noce de bois,EUR,50,-100%,0%,Unknown,,0,0
idee cadeau pour noces de diamant,EUR,50,0%,0%,High,86,0.001088188,0.043770385
idee cadeau pour papi et mamie,EUR,50,0%,0%,High,98,0.001379306,0.00431787
idee cadeau premier anniversaire mariage,EUR,50,0%,0%,High,100,0,0
idee cadeaux noel personnalisé,EUR,500,0%,0%,High,100,0.002963666,0.009947563
idee cadeaux personnalisés noel,EUR,50,0%,0%,High,100,0.00341159,0.011082695
idee calendrier de l avent personnalisé femme,EUR,50,0%,0%,High,98,0,0
idee de cadeau anniversaire de mariage,EUR,5000,0%,0%,High,100,0.00152405,0.006206387
idee de cadeau anniversaire mariage,EUR,5000,0%,0%,High,100,0.00152405,0.006206387
idee de cadeau avec des photos,EUR,50,0%,-90%,High,100,0.004407194,0.012897211
idee de cadeau d anniversaire de mariage pour homme,EUR,50,0%,0%,High,75,0,0
idee de cadeau pour anniversaire de mariage,EUR,5000,0%,0%,High,100,0.00152405,0.006206387
idee de cadeau pour fete des grand mere,EUR,500,0%,0%,High,100,0,0
idee de cadeau pour fete des mere,EUR,5000,0%,-90%,High,81,0,0
idee de cadeau pour fete des meres,EUR,5000,-90%,-90%,High,94,0,0
idee de cadeau pour la fete des grand mere,EUR,50,?,?,High,79,0,0
idee de cadeau pour la fête des mères,EUR,5000,-90%,-90%,High,94,0,0
idee de cadeau pour ma maman,EUR,50,900%,0%,High,98,0.001593162,0.006145751
idee de cadeaux pour fete des meres,EUR,5000,-90%,-90%,High,94,0,0
idee de cadeaux pour grand parents,EUR,500,0%,-90%,High,100,0.00125673,0.004571823
idee de cadeaux pour la fete des meres,EUR,5000,-90%,-90%,High,94,0,0
idee de personnalisation de coque,EUR,50,0%,0%,Medium,34,0,0
idee deco boite anniversaire,EUR,50,0%,0%,Medium,49,0,0
idee fete des meres originale,EUR,50,-100%,0%,Unknown,,0,0
idee grand parents,EUR,50,0%,-90%,High,100,0.001390716,0.004843707
idee noce de bois,EUR,50,0%,0%,High,100,0,0
idee noce de cire,EUR,50,0%,0%,High,100,0.001778004,0.003471248
idee noce de coton,EUR,50,0%,0%,High,100,0.001540676,0.006988787
idee noce de cuir,EUR,50,0%,0%,High,100,0,0
idee noce de froment,EUR,50,0%,?,High,100,0,0
idee noces de bois,EUR,50,0%,0%,High,100,0,0
idee noel parents,EUR,50,0%,0%,High,100,0.001778004,0.008637369
idee original fete des grand mere,EUR,50,0%,0%,Unknown,,0,0
idee original fete des mere,EUR,50,0%,0%,Unknown,,0,0
idee originale anniversaire femme,EUR,50,0%,0%,High,100,0,0
idee pour anniversaire de mariage,EUR,500,-90%,-90%,High,100,0.001764638,0.003945578
idee surprise anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
idee surprise fete des meres,EUR,50,0%,0%,Unknown,,0,0
ideecadeauphoto com,EUR,50,?,0%,High,100,0.008861331,0.026194749
idees cadeaux anniversaire mariage,EUR,500,0%,0%,High,100,0.001777678,0.007138747
idees cadeaux noces d or,EUR,50,0%,?,High,100,0.00143929,0.005827575
idees cadeaux noces de bois,EUR,50,0%,0%,High,100,0,0
idees cadeaux papi mamie,EUR,500,900%,0%,High,100,0.001426576,0.004921621
idees cadeaux pour la fete des meres,EUR,50,-100%,0%,Unknown,,0,0
idees cadeaux pour sa mere,EUR,500,900%,0%,High,100,0.001916554,0.008296373
idees de cadeau pour la fete des meres,EUR,5000,-90%,-90%,High,94,0,0
idée cadeau 25ème anniversaire de mariage,EUR,50,0%,0%,Unknown,,0,0
idée cadeau 30e anniversaire de mariage,EUR,50,0%,0%,Unknown,,0,0
idée cadeau a partir d une photo,EUR,50,0%,0%,High,93,0.003764322,0.008328647
idée cadeau anniversaire de mariage 1 an,EUR,50,0%,0%,High,100,0,0
idée cadeau anniversaire de mariage femme,EUR,50,0%,0%,High,100,0,0
idée cadeau anniversaire de mariage original,EUR,50,0%,0%,High,100,0,0
idée cadeau anniversaire de mariage pour femme,EUR,50,0%,0%,High,100,0,0
idée cadeau anniversaire de mariage pour homme,EUR,50,0%,0%,High,100,0.001180772,0.003875814
idée cadeau anniversaire mariage pour homme,EUR,500,-90%,-90%,High,100,0.00135453,0.004922925
idée cadeau femme anniversaire mariage,EUR,50,0%,0%,High,100,0,0
idée cadeau fête des pères avec photo,EUR,50,0%,0%,Unknown,,0,0
idée cadeau grand parent fait main noel,EUR,50,0%,-90%,High,93,0,0
idée cadeau grands parents noel,EUR,500,900%,0%,High,100,0.00139365,0.005268159
idée cadeau homme 1 an de mariage,EUR,50,0%,-100%,Unknown,,0,0
idée cadeau homme anniversaire de mariage,EUR,50,0%,0%,High,100,0.002509222,0.004772965
idée cadeau homme noce de coton,EUR,50,0%,0%,High,100,0,0
idée cadeau mariage noce de froment,EUR,50,0%,0%,High,100,0,0
idée cadeau noce chypre,EUR,50,0%,?,High,100,0,0
idée cadeau noce corail,EUR,50,-100%,-100%,Unknown,,0,0
idée cadeau noce coton homme,EUR,50,?,?,High,100,0,0
idée cadeau noce de bronze,EUR,50,-100%,-100%,Unknown,,0,0
idée cadeau noce de chypre,EUR,500,0%,0%,High,100,0.00152405,0.005397907
idée cadeau noce de cire homme,EUR,50,0%,?,High,100,0,0
idée cadeau noce de coquelicot homme,EUR,50,0%,0%,High,100,0,0
idée cadeau noce de cristal,EUR,50,0%,0%,High,67,0,0
idée cadeau noce de cristal homme,EUR,50,?,0%,High,100,0,0
idée cadeau noce de cuir femme,EUR,50,0%,0%,High,100,0,0
idée cadeau noce de diamant,EUR,50,0%,0%,High,86,0.001088188,0.043770385
idée cadeau noce de froment homme,EUR,50,0%,0%,High,100,0,0
idée cadeau noce de saphir,EUR,50,0%,0%,Unknown,,0,0
idée cadeau noces de chypre,EUR,50,0%,0%,High,100,0,0
idée cadeau noces de coquelicot,EUR,50,0%,0%,High,100,0,0
idée cadeau noces de diamant,EUR,50,0%,0%,High,100,0,0
idée cadeau noces de faience,EUR,50,0%,0%,High,100,0,0
idée cadeau noces de laine,EUR,50,0%,0%,High,100,0,0
idée cadeau noces de plomb,EUR,50,0%,0%,High,100,0,0
idée cadeau noces de porcelaine,EUR,50,0%,0%,High,100,0,0
idée cadeau noel grand parent,EUR,500,900%,0%,High,100,0.001373112,0.005079731
idée cadeau noel homme personnalisé,EUR,50,0%,0%,High,100,0.002317534,0.005963843
idée cadeau original fête des mères,EUR,50,-100%,-100%,Unknown,,0,0
idée cadeau original noce de coton,EUR,50,0%,0%,Unknown,,0,0
idée cadeau original pour maman,EUR,500,900%,0%,High,100,0.001888518,0.006665721
idée cadeau papy et mamie,EUR,500,900%,0%,High,100,0.001576536,0.004820235
idée cadeau personnalisé grand parents,EUR,50,?,0%,High,100,0.002624626,0.018803026
idée cadeau personnalisé photo,EUR,500,0%,0%,High,100,0.004385026,0.011655151
idée cadeau pour anniversaire de mariage des parents,EUR,50,0%,0%,High,100,0,0
idée cadeau pour des grands parents,EUR,50,900%,900%,High,100,0.001147194,0.004112816
idée cadeau pour futur grand parents,EUR,50,0%,-90%,High,100,0.001446136,0.005414207
idée cadeau pour fête des grand mères,EUR,50,0%,0%,Unknown,,0,0
idée cadeau pour grand parents pas cher,EUR,50,0%,-90%,High,100,0.000755668,0.002455106
idée cadeau pour la fete des grand mere,EUR,50,-100%,-100%,Unknown,,0,0
idée cadeau pour la fete des meres,EUR,50,-100%,-100%,Unknown,,0,0
idée cadeau pour la fête des mamans,EUR,50,0%,-100%,Unknown,,0,0
idée cadeau pour noce de chypre,EUR,50,-100%,-100%,Unknown,,0,0
idée cadeau pour noce de coton,EUR,500,0%,0%,High,100,0.001991208,0.005764331
idée cadeau pour noce de cuir,EUR,500,-90%,0%,High,100,0.002421528,0.009023679
idée cadeau pour noces de bois,EUR,500,-90%,0%,High,100,0.002031958,0.008574777
idée cadeau pour ses grands parents,EUR,50,0%,-90%,High,100,0.000824128,0.004254952
idée cadeau pour un anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
idée de cadeau de noel personnalisé,EUR,50,900%,0%,High,100,0.002770348,0.009917571
idée de cadeau de noel pour grand parent,EUR,500,0%,0%,High,100,0.001403756,0.004892933
idée de cadeau noce de coton,EUR,50,0%,0%,High,100,0,0
idée de cadeau original pour la fête des mères,EUR,50,0%,0%,Unknown,,0,0
idée de cadeau pour 1 an de mariage,EUR,50,-100%,-100%,Unknown,,0,0
idée de cadeau pour anniversaire mariage,EUR,50,0%,?,High,100,0,0
idée de cadeau pour belle maman,EUR,50,0%,0%,High,100,0.001420056,0.006584873
idée de cadeau pour la fête des grands mères,EUR,50,?,0%,Low,0,0,0
idée de cadeau pour la fête des mères facile,EUR,50,0%,0%,Unknown,,0,0
idée de cadeau pour les grands parents,EUR,50,900%,0%,High,100,0.000942466,0.003914282
idée de cadeau pour papi et mamie,EUR,50,0%,0%,High,100,0,0
idée de cadeau pour ses grands parents,EUR,50,0%,-90%,High,100,0.001119158,0.005387801
idée de cadeau pour un anniversaire de mariage,EUR,50,0%,0%,Low,0,0,0
idée de surprise pour anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
idée noël parents,EUR,50,0%,0%,High,75,0,0
idée originale anniversaire de mariage,EUR,50,0%,-100%,Unknown,,0,0
idée originale cadeau fête des mères,EUR,5000,0%,0%,High,100,0.0008965,0.009054323
idée originale fête des mères,EUR,50,0%,0%,Unknown,,0,0
idée originale pour la fête des mères,EUR,50,0%,0%,Unknown,,0,0
idée photo cadeau original,EUR,50,-100%,0%,Unknown,,0,0
idée photo personnalisé,EUR,50,0%,0%,High,100,0.005513963,0.013799904
idée premier anniversaire de mariage,EUR,50,0%,0%,High,100,0,0
idée surprise anniversaire mariage,EUR,50,-100%,-100%,Unknown,,0,0
idéecadeauphoto,EUR,50,0%,0%,High,100,0.007856599,0.016482558
idées cadeau grands parents,EUR,5000,900%,0%,High,100,0.001192834,0.004571823
idées cadeaux cadeau pour maman,EUR,50,0%,0%,High,100,0,0
idées cadeaux noel avec photos,EUR,50,0%,0%,High,100,0.004704831,0.012870805
idées cadeaux photos personnalisées,EUR,500,900%,0%,High,100,0.004817301,0.014016694
idées de cadeau pour la fête des mères,EUR,5000,-90%,-90%,High,94,0,0
idées de cadeaux pour fête des mères,EUR,50,0%,0%,High,100,0,0
idées de cadeaux pour la fête des mamans,EUR,50,0%,0%,High,100,0,0
idées de cadeaux pour les fêtes des mères,EUR,50,0%,0%,Unknown,,0,0
impression de photo sur tee shirt,EUR,50,0%,0%,High,100,0.010744307,0.025059943
impression photo taie d oreiller,EUR,50,?,0%,High,100,0.004830993,0.011711223
jogging personnalisé photo,EUR,50,0%,0%,High,100,0.003919172,0.008868177
joyeux anniversaire noce de coton,EUR,50,0%,0%,Low,5,0,0
le meilleur cadeau pour la fête des mères,EUR,50,0%,0%,High,100,0,0
le meilleur cadeau pour une maman,EUR,50,0%,0%,High,100,0.001952414,0.005232951
les meilleurs cadeaux pour la fête des mères,EUR,50,0%,-100%,Unknown,,0,0
les noces de cuir,EUR,50,0%,0%,Low,2,0,0
les noces de faience,EUR,50,0%,0%,Low,0,0,0
les noces de froment,EUR,50,0%,0%,Low,2,0,0
les noces de laine,EUR,50,0%,0%,Low,3,0,0
livre pere noel personnalisé,EUR,50,0%,0%,High,100,0.005860175,0.018423236
livre personnalisé noel photo,EUR,50,0%,0%,Unknown,,0,0
mamie et papy box,EUR,50,0%,0%,High,100,0,0
mariage 1 an noce de coton,EUR,50,0%,0%,Medium,48,0,0
mariage noce de bois,EUR,50,0%,0%,Low,0,0,0
mariage noce de coton,EUR,500,0%,-90%,Medium,38,0,0
mariage noce de quoi,EUR,500,0%,0%,Low,8,9.943E-05,0.000330564
mariage noces d or,EUR,50,0%,0%,Low,4,0,0
meilleur cadeau pour grand parent,EUR,50,?,0%,High,100,0,0
meilleur cadeau pour la fete des mere,EUR,50,0%,0%,High,100,0,0
meilleure cadeau pour maman,EUR,50,0%,0%,High,100,0.002289824,0.009253835
mon livre de noel personnalisé,EUR,50,-100%,0%,Unknown,,0,0
mon premier noel personnalisé,EUR,50,0%,0%,High,100,0.00435699,0.012491993
noce 1 an cadeau,EUR,50,0%,0%,High,100,0,0
noce 1 an de mariage,EUR,500,0%,0%,Low,6,0.000100408,0.003338566
noce 1 an mariage,EUR,50,0%,0%,Low,4,0,0
noce 15 anniversaire de mariage,EUR,50,0%,?,Low,0,0,0
noce 18 anniversaire de mariage,EUR,50,0%,0%,Low,0,0,0
noce 19 anniversaire de mariage,EUR,50,0%,0%,Low,0,0,0
noce 20 anniversaire de mariage,EUR,50,0%,0%,Low,18,0,0
noce 25 anniversaire de mariage,EUR,50,0%,0%,Low,14,0,0
noce 25 mariage,EUR,50,?,0%,Low,0,0,0
noce 25e anniversaire mariage,EUR,50,0%,-100%,Unknown,,0,0
noce 29 anniversaire de mariage,EUR,50,0%,0%,Low,0,0,0
noce 30 anniversaire de mariage,EUR,5000,0%,0%,Low,6,9.9756E-05,0.002201152
noce 35 anniversaire de mariage,EUR,50,0%,0%,Low,0,0,0
noce 4 anniversaire de mariage,EUR,50,?,0%,Low,0,0,0
noce 40 anniversaire de mariage,EUR,5000,0%,0%,Low,7,9.9756E-05,0.001984036
noce 45 anniversaire de mariage,EUR,500,0%,0%,Low,3,9.9756E-05,0.00051508
noce 50 anniversaire de mariage,EUR,50,0%,0%,Low,0,0,0
noce anniversaire,EUR,500,0%,0%,Low,9,9.9756E-05,0.001074822
noce anniversaire de mariage,EUR,500,0%,0%,Low,13,0.000100734,0.004565955
noce chypre cadeau,EUR,50,0%,0%,High,100,0,0
noce chypre trouver cadeau,EUR,50,0%,0%,Unknown,,0,0
noce coquelicot cadeau,EUR,50,0%,0%,High,100,0.001358768,0.006519021
noce coton idee cadeau,EUR,50,-100%,-100%,Unknown,,0,0
noce cuir cadeau,EUR,50,0%,0%,High,100,0,0
noce d acajou quoi offrir,EUR,50,0%,0%,High,100,0,0
noce d anniversaire de mariage,EUR,50,0%,0%,Low,4,0,0
noce d emeraude cadeau,EUR,50,0%,0%,High,98,0.0010269,0.002088682
noce d opale cadeau,EUR,50,0%,0%,High,100,0,0
noce d or cadeau original,EUR,50,0%,?,High,100,0,0
noce d un an de mariage,EUR,50,0%,0%,Low,5,0,0
noce d émeraude cadeau,EUR,50,0%,0%,High,98,0.0010269,0.002088682
noce d émeraude idée cadeau,EUR,50,?,?,High,100,0,0
noce de 1 an coton,EUR,50,-100%,0%,Unknown,,0,0
noce de 1 an de mariage,EUR,50,0%,0%,Low,10,0,0
noce de beryl cadeau,EUR,50,0%,0%,High,100,0,0
noce de bois idee cadeau,EUR,500,-90%,0%,High,100,0.002031958,0.008574777
noce de bois idée cadeau,EUR,500,-90%,0%,High,100,0.002031958,0.008574777
noce de bois mariage,EUR,500,-90%,0%,Low,31,0.000100408,0.000918994
noce de bronze cadeau,EUR,50,0%,0%,High,92,0,0
noce de bronze quel cadeau,EUR,50,0%,0%,Unknown,,0,0
noce de béryl cadeau,EUR,50,0%,0%,High,100,0,0
noce de chypre cadeau femme,EUR,50,0%,0%,High,100,0,0
noce de chypre quoi offrir,EUR,50,0%,0%,Medium,60,0,0
noce de cire cadeau homme,EUR,50,0%,0%,High,100,0,0
noce de cire idee cadeau,EUR,500,-90%,0%,High,100,0.001862438,0.005287067
noce de cire idée cadeau,EUR,500,-90%,0%,High,100,0.001862438,0.005287067
noce de cire idée cadeau homme,EUR,50,-100%,-100%,Unknown,,0,0
noce de cire quel cadeau,EUR,50,-100%,0%,Unknown,,0,0
noce de cire quoi offrir,EUR,50,0%,0%,High,100,0,0
noce de coquelicot cadeau femme,EUR,50,?,?,High,100,0,0
noce de coquelicot cadeau homme,EUR,50,0%,0%,High,100,0,0
noce de coquelicot idée cadeau,EUR,50,-100%,-100%,Unknown,,0,0
noce de corail idée cadeau,EUR,50,0%,0%,Unknown,,0,0
noce de coton cadeau 1 an de mariage,EUR,50,0%,0%,High,100,0,0
noce de coton idee,EUR,50,-100%,-100%,Unknown,,0,0
noce de coton idee cadeau,EUR,500,0%,0%,High,100,0.001991208,0.005764331
noce de coton mariage,EUR,500,0%,-90%,Medium,38,0,0
noce de coton quel cadeau,EUR,50,-100%,-100%,Unknown,,0,0
noce de coton quoi offrir,EUR,50,0%,0%,High,100,0,0
noce de cretonne idee cadeau,EUR,50,0%,0%,Unknown,,0,0
noce de cretonne quoi offrir,EUR,50,0%,0%,High,90,0,0
noce de cristal cadeau homme,EUR,50,0%,0%,High,100,0,0
noce de cristal idee cadeau,EUR,50,?,0%,High,100,0,0
noce de cuir cadeau femme,EUR,50,0%,0%,High,100,0,0
noce de cuir idee cadeau,EUR,50,0%,0%,High,100,0,0
noce de cuir mariage,EUR,50,0%,0%,Low,18,0,0
noce de cuir quoi offrir,EUR,50,0%,0%,High,100,0,0
noce de faience cadeau,EUR,500,0%,0%,High,100,0.000997234,0.003199364
noce de faience cadeau homme,EUR,50,0%,0%,High,100,0.001552086,0.005079731
noce de faience idée cadeau,EUR,50,0%,0%,High,100,0.00135453,0.003076788
noce de froment idée cadeau,EUR,500,-90%,0%,High,100,0.001617612,0.004051202
noce de froment quel cadeau,EUR,50,-100%,-100%,Unknown,,0,0
noce de froment quoi offrir,EUR,50,0%,0%,High,100,0,0
noce de laine cadeau femme,EUR,50,0%,0%,High,100,0,0
noce de laine cadeau homme,EUR,50,0%,0%,High,100,0,0
noce de laine idee cadeau,EUR,50,0%,0%,High,100,0,0
noce de laine quoi offrir,EUR,50,0%,0%,High,100,0,0
noce de mariage 1 an,EUR,500,0%,0%,Low,2,0,0
noce de mariage cadeau,EUR,50,0%,0%,High,100,0,0
noce de mariage diamant,EUR,50,0%,0%,Low,3,0,0
noce de mercure quoi offrir,EUR,50,0%,0%,High,100,0,0
noce de mousseline quoi offrir,EUR,50,0%,0%,High,81,0,0
noce de muguet cadeau,EUR,50,0%,0%,High,100,0.001693244,0.005001491
noce de muguet cadeau homme,EUR,50,0%,0%,High,100,0.001177186,0.005052347
noce de nickel cadeaux,EUR,50,0%,0%,High,100,0,0
noce de palissandre cadeau,EUR,50,0%,0%,High,100,0,0
noce de papier quoi offrir,EUR,50,0%,0%,High,88,0,0
noce de perle cadeau homme,EUR,50,0%,0%,High,96,0,0
noce de perle idee cadeau,EUR,50,0%,0%,High,100,0,0
noce de plomb cadeau,EUR,500,0%,0%,High,100,0.001350944,0.003960248
noce de plomb idee cadeau,EUR,50,0%,0%,High,100,0,0
noce de porcelaine cadeau,EUR,500,-90%,0%,High,100,0.001966106,0.005913965
noce de porcelaine idee cadeau,EUR,50,0%,0%,High,100,0,0
noce de rose cadeau homme,EUR,50,0%,0%,High,100,0,0
noce de rose mariage,EUR,50,0%,0%,Low,0,0,0
noce de rubis cadeau,EUR,50,0%,0%,High,96,0.001591532,0.004952591
noce de rubis idee cadeau,EUR,50,0%,0%,High,100,0,0
noce de saphir cadeau homme,EUR,50,0%,0%,High,100,0,0
noce de saphir idee cadeau,EUR,50,-100%,-100%,Unknown,,0,0
noce de soie idée cadeau,EUR,50,0%,0%,High,100,0.001366266,0.00305951
noce de soie mariage,EUR,50,0%,0%,Low,18,0,0
noce de turquoise cadeau,EUR,50,0%,0%,High,81,0,0
noce de velours idée cadeau,EUR,50,0%,0%,High,100,0,0
noce de vermeil cadeau,EUR,50,0%,0%,High,100,0.001266184,0.003379316
noce de vermeil quoi offrir,EUR,50,0%,0%,High,100,0,0
noce diamant cadeau,EUR,50,0%,0%,High,100,0,0
noce faience cadeau,EUR,50,0%,0%,High,100,0,0
noce froment,EUR,500,0%,0%,Low,27,0,0
noce froment cadeau,EUR,50,0%,0%,High,100,0.001813864,0.00403425
